rank;distance;max_workload;#changed offices
1;83,72;1,07;1
2;86,06;1,12;0
3;89,66;1,11;1
4;80,19;1,23;1
5;79,23;1,18;2
6;75,21;1,40;0
7;83,31;1,47;0
8;82,40;1,41;1
9;81,47;1,03;4
10;91,78;1,09;3
11;103,32;1,22;0
12;94,12;1,31;0
13;117,86;1,03;2
14;88,99;1,26;2
15;76,44;1,29;3
16;185,90;1,10;1
17;91,25;1,40;2
18;101,51;1,18;3
19;118,23;1,27;1
20;110,23;1,33;1
21;139,70;1,04;3
22;129,53;1,17;2
23;129,12;1,19;2
24;116,87;1,17;3
25;180,90;1,30;1
26;177,82;1,31;1
27;144,78;1,03;4
28;122,56;1,49;2
29;94,06;1,48;4
30;185,47;1,08;4
31;133,14;1,34;2
32;142,46;1,13;4
33;126,08;1,33;3
34;138,20;1,33;3
35;173,61;1,36;3
36;180,96;1,38;3
37;180,55;1,37;3
38;185,58;1,29;4
39;161,02;1,35;4
