brick,rp1,rp2,rp3,rp4
1,16.16,24.09,24.29,21.12
2,19.00,26.47,27.22,17.33
3,25.29,32.50,33.41,12.25
4,0.00,7.94,8.29,36.12
5,3.07,6.45,7.55,37.37
6,1.22,7.51,8.17,36.29
7,2.80,10.30,10.92,33.50
8,2.87,5.07,5.65,38.80
9,3.80,8.02,7.37,38.16
10,12.35,4.51,4.37,48.27
11,11.11,3.51,2.97,47.14
12,21.99,22.01,24.10,39.86
13,8.82,3.28,5.38,43.31
14,7.94,0.00,2.10,43.75
15,9.34,2.32,1.11,45.43
16,8.29,2.10,0.00,44.40
17,7.28,2.40,1.08,43.40
18,7.55,0.77,1.54,43.52
19,11.13,18.41,19.24,25.40
20,17.49,23.44,24.76,23.21
21,11.03,18.94,19.26,25.43
22,36.12,43.75,44.40,0.00
